148	194.79	177.15
147	188.78	174.37
146	188.78	171.4
145	190.35	171.63
144	188.78	173.93
143	183.88	173.82
142	182.26	173.12
141	182.14	172.43
140	180.25	170.93
139	181.47	170.8
138	181.49	171.55
137	180.98	168.67
136	179.8	168.2
135	176.62	167.66
134	181.43	170.92
133	176.73	176.11
132	174.59	175.52
131	166.44	170.95
130	171.13	166.8
129	168.14	164.82
128	164.11	163.9
127	166.8	163
126	163.44	161.02
125	164.66	166.39
124	165.18	167.03
123	168.92	169.61
122	169.51	170.58
121	174.36	172.03
120	176.67	171.75
119	174.98	172.97
118	174.12	173.39
117	175.18	171.93
116	177.59	174.86
115	174.97	173.36
114	176.52	174.01
113	174.78	172.38
112	176.82	171.29
111	172.43	171.27
110	169.16	170.64
109	166.96	170.79
108	163.65	167.71
107	163.96	167.29
106	158.11	167.52
105	154.19	167.8
104	151.83	166.91
103	148.07	164.8
102	147.03	165.13
101	149.02	164.58
100	145.48	161.97
99	144.91	161.72
98	148.07	164.78
97	146.91	162.43
96	148.28	163.54
95	147.03	161.62
94	143.6	160.05
93	142.28	157.73
92	142.36	157.43
91	141.66	158.18
90	139.55	155.71
89	139.15	158.14
88	139.15	157.19
87	143.96	162.65
86	144.81	163.92
85	144.72	162.16
84	144.01	160.1
83	144.34	159.13
82	145.27	159.68
81	145.17	159.59
80	143.55	158.32
79	142.7	159.23
78	141.27	157.16
77	139.54	156.57
76	140.65	156.24
75	139.13	156.13
74	140.63	156.05
73	139.48	155.2
72	140.06	154.1
71	138.71	152.59
70	138.91	154.16
69	139.63	154.08
68	138.94	155.36
67	137.27	154.35
66	134.84	152.63
65	133.82	150.93
64	130.73	150.97
63	129.07	147.05
62	128.19	144.1
61	129	145.64
60	129.71	145.04
59	129.63	146.7
58	128.96	144.04
57	131.68	147.89
56	131.68	147.85
55	133.26	147.8
54	131.55	147.66
53	128.47	146.86
52	127.44	146.44
51	128.67	146.44
50	124.6	144.85
49	127.53	147.73
48	124.63	147.24
47	125.77	148.4
46	124.57	147.17
45	123.23	147.13
44	122.66	146.64
43	119.56	145.47
42	119.56	144.97
41	117.38	142.78
40	115.44	141.22
39	113.68	140.23
38	114.09	141.6
37	113.53	139.94
36	114.43	140.41
35	115.06	140.57
34	114.14	139.43
33	114.22	139.58
32	113.91	139.95
31	114.71	137.66
30	109.34	134.03
29	111.15	134.37
28	111.06	133.6
27	114.88	136.4
26	114.22	134.44
25	115.09	133.73
24	114.17	135.18
23	112.41	135.96
22	111.67	136.38
21	111.03	135.16
20	109.01	134.1
19	107.76	132.88
18	109.9	130.16
17	109.09	130.59
16	109.83	134.92
15	106.96	134.5
14	106.96	132.74
13	107.82	131.97
12	106.36	130.72
11	105.87	128.66
10	102.38	126.19
9	99.95	124.53
8	103.83	126.95
7	105.13	127.05
6	105.12	125.48
5	105.35	124.61
4	102.99	124.18
3	101.79	121.55
2	102.21	120.34
1	99.42	118.75	
